Elapsed Time (ms), RR (ms), Heart Rate (bpm)
138153,450,133.3
138630,477,125.9
139110,480,125
139573,463,129.5
140053,480,125
140563,510,117.6
141053,490,122.4
141520,467,128.6
142000,480,125
142490,490,122.4
142947,457,131.4
143427,480,125
143873,447,134.3
144313,440,136.4
144733,420,142.9
145153,420,142.9
145577,423,141.7
145997,420,142.9
146423,427,140.6
146840,417,144
147253,413,145.2
147670,417,144
148117,447,134.3
148577,460,130.4
149020,443,135.3
149447,427,140.6
149880,433,138.5
150350,470,127.7
150747,397,151.3
151160,413,145.2
151537,377,159.3
151937,400,150
152483,547,109.8
152713,230,260.9
153293,580,103.4
153673,380,157.9
154290,617,97.3
154663,373,160.7
155077,413,145.2
155510,433,138.5
155923,413,145.2
156327,403,148.8
156767,440,136.4
157200,433,138.5
157640,440,136.4
158093,453,132.4
158533,440,136.4
158957,423,141.7
159397,440,136.4
159843,447,134.3
160273,430,139.5
160710,437,137.4
161150,440,136.4
161583,433,138.5
162033,450,133.3
162467,433,138.5
162897,430,139.5
163337,440,136.4
163767,430,139.5
164193,427,140.6
164637,443,135.3
165067,430,139.5
165487,420,142.9
165927,440,136.4
166343,417,144
166760,417,144
167187,427,140.6
167607,420,142.9
168030,423,141.7
168460,430,139.5
168887,427,140.6
169307,420,142.9
169747,440,136.4
170170,423,141.7
170590,420,142.9
171027,437,137.4
171450,423,141.7
171887,437,137.4
172310,423,141.7
172727,417,144
173140,413,145.2
173553,413,145.2
173967,413,145.2
174377,410,146.3
174787,410,146.3
175193,407,147.5
175590,397,151.3
175997,407,147.5
176410,413,145.2
176813,403,148.8
177233,420,142.9
177653,420,142.9
178073,420,142.9
178503,430,139.5
178933,430,139.5
179383,450,133.3
179823,440,136.4
180280,457,131.4
180717,437,137.4
181150,433,138.5
181607,457,131.4
182047,440,136.4
182490,443,135.3
182950,460,130.4
183393,443,135.3
183857,463,129.5
184310,453,132.4
184750,440,136.4
185227,477,125.9
185683,457,131.4
186130,447,134.3
186593,463,129.5
187050,457,131.4
187500,450,133.3
187963,463,129.5
188417,453,132.4
188897,480,125
189350,453,132.4
189800,450,133.3
190273,473,126.8
190720,447,134.3
191183,463,129.5
191643,460,130.4
192087,443,135.3
192537,450,133.3
192983,447,134.3
193427,443,135.3
193873,447,134.3
194333,460,130.4
194783,450,133.3
195247,463,129.5
195697,450,133.3
196133,437,137.4
196583,450,133.3
197020,437,137.4
197453,433,138.5
197897,443,135.3
198343,447,134.3
198807,463,129.5
199307,500,120
199777,470,127.7
200257,480,125
200793,537,111.8
201280,487,123.3
201747,467,128.6
202243,497,120.8
202733,490,122.4
203197,463,129.5
203673,477,125.9
204120,447,134.3
204570,450,133.3
205013,443,135.3
205457,443,135.3
205917,460,130.4
206357,440,136.4
206810,453,132.4
207263,453,132.4
207700,437,137.4
208150,450,133.3
208633,483,124.1
209080,447,134.3
209527,447,134.3
209973,447,134.3
210413,440,136.4
210863,450,133.3
211313,450,133.3
211763,450,133.3
212213,450,133.3
212677,463,129.5
213127,450,133.3
213600,473,126.8
214043,443,135.3
214500,457,131.4
214963,463,129.5
215427,463,129.5
215877,450,133.3
216350,473,126.8
216817,467,128.6
217277,460,130.4
217727,450,133.3
218170,443,135.3
218613,443,135.3
219050,437,137.4
219480,430,139.5
219897,417,144
220330,433,138.5
220727,397,151.3
221130,403,148.8
221523,393,152.5
221927,403,148.8
222323,397,151.3
222733,410,146.3
223157,423,141.7
223550,393,152.5
223963,413,145.2
224353,390,153.8
224703,350,171.4
225107,403,148.8
225517,410,146.3
225933,417,144
226337,403,148.8
226757,420,142.9
227180,423,141.7
227600,420,142.9
228040,440,136.4
228470,430,139.5
228890,420,142.9
229330,440,136.4
229787,457,131.4
230220,433,138.5
230667,447,134.3
231133,467,128.6
231570,437,137.4
231987,417,144
232403,417,144
232827,423,141.7
233257,430,139.5
233703,447,134.3
234157,453,132.4
234593,437,137.4
235053,460,130.4
235500,447,134.3
235967,467,128.6
236427,460,130.4
236893,467,128.6
237363,470,127.7
237820,457,131.4
238283,463,129.5
238740,457,131.4
239187,447,134.3
239650,463,129.5
240093,443,135.3
240540,447,134.3
240987,447,134.3
241440,453,132.4
241880,440,136.4
242323,443,135.3
242790,467,128.6
243257,467,128.6
243713,457,131.4
244190,477,125.9
244673,483,124.1
245120,447,134.3
245570,450,133.3
246060,490,122.4
246520,460,130.4
246970,450,133.3
247443,473,126.8
247890,447,134.3
248320,430,139.5
248753,433,138.5
249210,457,131.4
249643,433,138.5
250073,430,139.5
250547,473,126.8
251023,477,125.9
251473,450,133.3
251930,457,131.4
252400,470,127.7
252843,443,135.3
253287,443,135.3
253767,480,125
254233,467,128.6
254667,433,138.5
255113,447,134.3
255593,480,125
256047,453,132.4
256500,453,132.4
256957,457,131.4
257403,447,134.3
257833,430,139.5
258277,443,135.3
258747,470,127.7
259193,447,134.3
259633,440,136.4
260107,473,126.8
260583,477,125.9
261027,443,135.3
261470,443,135.3
261950,480,125
262403,453,132.4
262833,430,139.5
263297,463,129.5
263730,433,138.5
264143,413,145.2
264553,410,146.3
264977,423,141.7
265390,413,145.2
265803,413,145.2
266243,440,136.4
266690,447,134.3
267103,413,145.2
267493,390,153.8
267887,393,152.5
268307,420,142.9
268787,480,125
269233,447,134.3
269657,423,141.7
270120,463,129.5
270533,413,145.2
270940,407,147.5
271370,430,139.5
271800,430,139.5
272207,407,147.5
272610,403,148.8
273040,430,139.5
273530,490,122.4
273967,437,137.4
274387,420,142.9
274807,420,142.9
275227,420,142.9
275657,430,139.5
276120,463,129.5
276567,447,134.3
276987,420,142.9
277400,413,145.2
277813,413,145.2
278260,447,134.3
278727,467,128.6
279180,453,132.4
279610,430,139.5
280040,430,139.5
280463,423,141.7
280880,417,144
281310,430,139.5
281730,420,142.9
282170,440,136.4
282620,450,133.3
283037,417,144
283453,417,144
283883,430,139.5
284313,430,139.5
284733,420,142.9
285163,430,139.5
285587,423,141.7
286007,420,142.9
286440,433,138.5
286860,420,142.9
287267,407,147.5
287673,407,147.5
288090,417,144
288513,423,141.7
288920,407,147.5
289347,427,140.6
289753,407,147.5
290163,410,146.3
290593,430,139.5
291013,420,142.9
291420,407,147.5
291847,427,140.6
292267,420,142.9
292683,417,144
293107,423,141.7
293520,413,145.2
293937,417,144
294383,447,134.3
294800,417,144
295220,420,142.9
295633,413,145.2
296040,407,147.5
296450,410,146.3
296873,423,141.7
297327,453,132.4
297777,450,133.3
298193,417,144
298620,427,140.6
299033,413,145.2
299450,417,144
299863,413,145.2
300277,413,145.2
300717,440,136.4
301167,450,133.3
301600,433,138.5
302027,427,140.6
302453,427,140.6
302867,413,145.2
303297,430,139.5
303727,430,139.5
304143,417,144
304570,427,140.6
304997,427,140.6
305423,427,140.6
305837,413,145.2
306257,420,142.9
306683,427,140.6
307107,423,141.7
307530,423,141.7
307977,447,134.3
308420,443,135.3
308850,430,139.5
309283,433,138.5
309717,433,138.5
310130,413,145.2
310543,413,145.2
310970,427,140.6
311390,420,142.9
311800,410,146.3
312230,430,139.5
312673,443,135.3
313097,423,141.7
313507,410,146.3
313910,403,148.8
314307,397,151.3
314697,390,153.8
315087,390,153.8
315487,400,150
315900,413,145.2
316310,410,146.3
316707,397,151.3
317117,410,146.3
317527,410,146.3
317937,410,146.3
318330,393,152.5
318747,417,144
319167,420,142.9
319580,413,145.2
319977,397,151.3
320373,397,151.3
320780,407,147.5
321187,407,147.5
321610,423,141.7
322030,420,142.9
322440,410,146.3
322837,397,151.3
323237,400,150
