Timestamp, rr, CodeType, EventType, Event_Num, Base, rrChange, Phase 
1200.6,1200.6,,,,.,.,.
1630.1999999999998,429.6,,,,.,.,.
2059.0,428.8,,,,.,.,.
2492.6,433.6,,,,.,.,.
3324.6,.,TASK,START,,.,.,0
3731.0,.,LOOK,START,,.,.,.
4136.6,405.6,,,,.,.,.
4538.200000000001,401.6,,,,.,.,.
4936.6,398.4,,,,.,.,.
6516.6,1580.0,,,,.,.,.
6908.6,392.0,,,,.,.,.
7303.0,394.4,,,,.,.,.
7693.4,390.4,,,,.,.,.
8094.2,400.8,,,,.,.,.
8487.0,392.8,,,,.,.,.
9279.8,.,TRIAL,,1,.,.,.
9709.4,429.6,,,,.,.,.
11461.4,.,TRIAL,,2,.,.,.
11903.0,441.6,,,,.,.,.
12326.2,423.2,,,,.,.,.
12775.0,448.8,,,,.,.,.
13207.0,432.0,,,,.,.,.
13627.0,420.0,,,,.,.,.
14063.0,436.0,,,,.,.,.
14481.4,418.4,,,,.,.,.
14895.8,414.4,,,,.,.,.
15305.4,409.6,,,,.,.,.
15723.8,418.4,,,,.,.,.
16135.8,412.0,,,,.,.,.
16567.8,432.0,,,,.,.,.
17001.399999999998,433.6,,,,.,.,.
17422.199999999997,420.8,,,,.,.,.
17848.6,426.4,,,,.,.,.
18260.6,412.0,,,,.,.,.
18674.199999999997,413.6,,,,.,.,.
19095.799999999996,421.6,,,,.,.,.
19524.599999999995,428.8,,,,.,.,.
19953.399999999994,428.8,,,,.,.,.
20371.799999999996,418.4,,,,.,.,.
20802.199999999997,430.4,,,,.,.,.
21238.199999999997,436.0,,,,.,.,.
21685.399999999998,447.2,,,,.,.,.
22123.8,438.4,,,,.,.,.
22550.2,426.4,,,,.,.,.
22975.0,.,TRIAL,,3,.,.,.
23416.6,441.6,,,,.,.,.
23843.0,426.4,,,,.,.,.
24282.2,439.2,,,,.,.,.
24733.4,451.2,,,,.,.,.
25164.600000000002,431.2,,,,.,.,.
25592.600000000002,.,TRIAL,,4,.,.,.
26015.000000000004,422.4,,,,.,.,.
26438.200000000004,423.2,,,,.,.,.
26879.800000000003,441.6,,,,.,.,.
27305.4,425.6,,,,.,.,.
27751.0,445.6,,,,.,.,.
28200.6,449.6,,,,.,.,.
