Timestamp, rr, CodeType, EventType, Event_Num, Base, rrChange, Phase 
5696.799999999999,420.8,,,,.,.,.
6098.4,401.6,,,,.,.,.
6493.599999999999,395.2,,,,.,.,.
6889.599999999999,396.0,,,,.,.,.
7280.799999999999,391.2,,,,.,.,.
7674.4,.,TASK,START,,.,.,0
8063.2,.,LOOK,START,,.,.,.
8456.0,392.8,,,,396.0,3.1999999999999886,1
8852.0,396.0,,,,396.0,0.0,1
9257.6,405.6,,,,396.0,9.600000000000023,1
9665.6,408.0,,,,396.0,12.0,1
10091.2,425.6,,,,396.0,29.600000000000023,1
10558.400000000001,467.2,,,,396.0,71.19999999999999,1
11028.800000000001,470.4,,,,396.0,74.39999999999998,2
11495.2,466.4,,,,396.0,70.39999999999998,2
11968.0,472.8,,,,396.0,76.80000000000001,2
12468.8,500.8,,,,396.0,104.80000000000001,2
12948.0,479.2,,,,396.0,83.19999999999999,2
13428.8,480.8,,,,396.0,84.80000000000001,2
13903.199999999999,474.4,,,,396.0,78.39999999999998,2
14363.999999999998,460.8,,,,396.0,64.80000000000001,2
14834.399999999998,470.4,,,,396.0,74.39999999999998,2
15270.399999999998,436.0,,,,396.0,40.0,2
15703.999999999998,433.6,,,,396.0,37.60000000000002,2
16131.999999999998,428.0,,,,396.0,32.0,2
16542.399999999998,410.4,,,,396.0,14.399999999999977,2
16953.6,411.2,,,,396.0,15.199999999999989,2
17365.6,412.0,,,,396.0,16.0,2
17756.0,390.4,,,,396.0,5.600000000000023,2
18149.6,393.6,,,,396.0,2.3999999999999773,2
18533.6,384.0,,,,396.0,12.0,2
18918.399999999998,384.8,,,,396.0,11.199999999999989,2
19304.8,386.4,,,,396.0,9.600000000000023,2
19691.2,386.4,,,,396.0,9.600000000000023,3
20087.2,396.0,,,,396.0,0.0,3
20504.0,416.8,,,,396.0,20.80000000000001,3
20956.0,452.0,,,,396.0,56.0,3
21409.6,453.6,,,,396.0,57.60000000000002,3
21851.199999999997,441.6,,,,396.0,45.60000000000002,3
22271.199999999997,420.0,,,,396.0,24.0,2
22690.399999999998,419.2,,,,396.0,23.19999999999999,2
23108.8,418.4,,,,396.0,22.399999999999977,2
23537.6,428.8,,,,396.0,32.80000000000001,2
23971.199999999997,433.6,,,,396.0,37.60000000000002,2
24411.199999999997,440.0,,,,396.0,44.0,2
24845.6,434.4,,,,396.0,38.39999999999998,2
25279.199999999997,433.6,,,,396.0,37.60000000000002,2
25707.999999999996,428.8,,,,396.0,32.80000000000001,2
26127.999999999996,420.0,,,,396.0,24.0,2
26553.599999999995,425.6,,,,396.0,29.600000000000023,2
26989.599999999995,436.0,,,,396.0,40.0,2
27411.199999999993,421.6,,,,396.0,25.600000000000023,2
27830.399999999994,419.2,,,,396.0,23.19999999999999,2
28258.399999999994,428.0,,,,396.0,32.0,2
28682.399999999994,424.0,,,,396.0,28.0,2
29111.999999999993,429.6,,,,396.0,33.60000000000002,2
29540.799999999992,428.8,,,,396.0,32.80000000000001,2
29964.799999999992,424.0,,,,396.0,28.0,2
30387.999999999993,423.2,,,,396.0,27.19999999999999,2
30811.199999999993,423.2,,,,396.0,27.19999999999999,2
31224.799999999992,413.6,,,,396.0,17.600000000000023,2
31639.999999999993,415.2,,,,396.0,19.19999999999999,2
32043.199999999993,403.2,,,,396.0,7.199999999999989,2
32451.999999999993,408.8,,,,396.0,12.800000000000011,2
32860.799999999996,408.8,,,,396.0,12.800000000000011,2
33275.99999999999,415.2,,,,396.0,19.19999999999999,2
33695.19999999999,419.2,,,,396.0,23.19999999999999,2
34107.99999999999,412.8,,,,396.0,16.80000000000001,2
