Time,Code_Type,Event_Type,Event_Num
3.735,Task,Start,.
346.735,Task,Stop,.
3.735,Look,Start,.
346.735,Look,Stop,.
5.7288,Trial,.,1
13.5085,Trial,.,2
20.5085,Trial,.,3
27.6271,Trial,.,4
33.7119,Trial,.,5
41.9831,Trial,.,6
54.3898,Trial,.,7
56.4237,Trial,.,8
69.339,Trial,.,9
70.7458,Trial,.,10
81.5593,Trial,.,11
84.8644,Trial,.,12
94.2034,Trial,.,13
99.2881,Trial,.,14
104.8305,Trial,.,15
113.5763,Trial,.,16
127.8644,Trial,.,17
130.0678,Trial,.,18
136.6102,Trial,.,19
142.1695,Trial,.,20
149.8475,Trial,.,21
156.339,Trial,.,22
160.8475,Trial,.,23
170.7458,Trial,.,24
182.678,Trial,.,25
185.0678,Trial,.,26
196.4915,Trial,.,27
199.2881,Trial,.,28
209.7797,Trial,.,29
213.6441,Trial,.,30
227.9661,Trial,.,31
231.2881,Trial,.,32
242.2034,Trial,.,33
246.339,Trial,.,34
256.5763,Trial,.,35
265.2712,Trial,.,36
270.8814,Trial,.,37
285.2203,Trial,.,38
288.1017,Trial,.,39
290.1525,Trial,.,40
299.4576,Trial,.,41
313.7797,Trial,.,42
315.6949,Trial,.,43
322.0678,Trial,.,44
328.1017,Trial,.,45
340.0847,Trial,.,46
342.3898,Trial,.,47
,,,
